name_source	name	source	type	name1	name2	descr1	descr2	descr3	description
	Chaeresilaus	Greek	mythological figures			Chaeresilaus			Chaeresilaus — Son of Iasius.
Χρυσών	Chryson	Greek	Sea deities			Chryson	Χρυσών		Chryson (Χρυσών)
	Polycaon	Greek	mythological figures			Polycaon			Polycaon — The name of several mythological figures.
		Greek	Kings						Danaus, a king of Egypt and father of the Danaides
Ἀλωεύς	Aloeus	Greek	mythological figures			Aloeus	Ἀλωεύς	 — the name of several mythological figures.	Aloeus (Ἀλωεύς) — the name of several mythological figures.
ἔρωτες	Erotes	Greek	Spirits			Erotes	ἔρωτες		Erotes (ἔρωτες)
Χαλκών	Chalcon	Greek	Sea deities			Chalcon	Χαλκών		Chalcon (Χαλκών)
	Timandra	Greek	mythological figures			Timandra			Timandra — Daughter of Leda and Tyndareus.
Πανταρίστη	Pantariste	Greek	Amazons			Pantariste	Πανταρίστη	, an Amazon who fought with Hippolyta against Heracles	Pantariste (Πανταρίστη), an Amazon who fought with Hippolyta against Heracles
	Lepreus	Greek	mythological figures			Lepreus			Lepreus — A grandson of Poseidon and an enemy of Heracles.
Βρόντης	Brontes	Greek	Gigantes			Brontes	Βρόντης		Brontes (Βρόντης)
Κένταυροι	Centaurs	Greek	Rustic deities			Centaurs	Κένταυροι	, a race of half-man, half-horse beings	Centaurs (Κένταυροι), a race of half-man, half-horse beings
	Eurymedon	Greek	mythological figures			Eurymedon			Eurymedon — The name of several mythological figures.
Ἑκάβη	Hecuba	Greek	Notable women			Hecuba	Ἑκάβη	, wife of Priam, king of Troy, and mother of nineteen of his children	Hecuba (Ἑκάβη), wife of Priam, king of Troy, and mother of nineteen of his children
Παρθένος	Parthenos	Greek	mythological figures			Parthenos	Παρθένος	 — princess of the Island of Naxos who leapt into the sea to escape her father's wrath; Apollo transformed her into demi-goddess.	Parthenos (Παρθένος) — princess of the Island of Naxos who leapt into the sea to escape her father's wrath; Apollo transformed her into demi-goddess.
	Oenoe	Greek	mythological figures			Oenoe			Oenoe — The name of several mythological characters.
	Phaenops	Greek	mythological figures			Phaenops			Phaenops — The name of several mythological figures.
Ειδοθέα	Eidothea	Greek	Sea deities			Eidothea	Ειδοθέα	, prophetic sea nymph and daughter of Proteus	Eidothea (Ειδοθέα), prophetic sea nymph and daughter of Proteus
		Greek	mythological figures						
	Heleus	Greek	mythological figures			Heleus			Heleus — A son of Perseus and Andromeda.
Ἀριστόμαχος	Aristomachus	Greek	mythological figures			Aristomachus	Ἀριστόμαχος	 — The name of several mythological figures.	Aristomachus (Ἀριστόμαχος) — The name of several mythological figures.
